title,Author(s),Year published,Approximate sales,Original language,book_series,No. of installments,First published,first,last
a wrinkle in time,madeleine l'engle,1962-01-01,14.0,eng,n,,1962,1962,
long walk to freedom,nelson mandela,1994-01-01,14.0,eng,n,,1994,1994,
the old man and the sea,ernest hemingway,1952-01-01,13.0,eng,n,,1952,1952,
life after life,raymond moody,1975-01-01,13.0,eng,n,,1975,1975,
peyton place,grace metalious,1956-01-01,12.1,eng,n,,1956,1956,
the giver,lois lowry,1993-01-01,12.0,eng,n,,1993,1993,
me before you,jojo moyes,2012-01-01,12.0,eng,n,,2012,2012,
norwegian wood (ノルウェイの森),haruki murakami,1987-01-01,12.0,jpn,n,,1987,1987,
the plague (la peste),albert camus,1947-01-01,12.0,fra,n,,1947,1947,
no longer human (人間失格),osamu dazai,1948-01-01,12.0,jpn,n,,1948,1948,
man's search for meaning (ein psychologe erlebt das konzentrationslager),viktor frankl,1946-01-01,12.0,deu,n,,1946,1946,
the divine comedy (la divina commedia),dante alighieri,,12.0,ita,n,,1304,1304,
the prophet,kahlil gibran,1923-01-01,11.0,eng,n,,1923,1923,
the boy in the striped pyjamas,john boyne,2006-01-01,11.0,eng,n,,2006,2006,
the exorcist,william peter blatty,1971-01-01,11.0,eng,n,,1971,1971,
the gruffalo,julia donaldson,1999-01-01,10.5,eng,n,,1999,1999,
fifty shades darker,e. l. james,2012-01-01,10.4,eng,n,,2012,2012,
tobacco road,erskine caldwell,1932-01-01,10.0,eng,n,,1932,1932,
"ronia, the robber's daughter",astrid lindgren,1981-01-01,10.0,swe,n,,1981,1981,
the cat in the hat,dr. seuss,1957-01-01,10.5,eng,n,,1957,1957,
diana: her true story,andrew morton,1992-01-01,10.0,eng,n,,1992,1992,
